Service_Name|Version|Service_Category|Atm_Service_Category|Messaging_Mode|LifeCicleStage|InterfaceType|ServiceProviderName
PublishPIREP(WMSCR)|1.0|Aeronautical|ArrivalandDeparture|Publish/Subscribe|Verification|Message-Oriented|WMSCRTechOpsSupport
PublishPIREP(WMSCR)|1.0|Flight|ArrivalandDeparture|Publish/Subscribe|Verification|Message-Oriented|WMSCRTechOpsSupport
PublishPIREP(WMSCR)|1.0|Flight|ArrivalandDeparture|Publish/Subscribe|Verification|Message-Oriented|WMSCRTechOpsSupport
PublishPIREP(WMSCR)|1.0|Flight|EnRouteCruise/Oceanic|Publish/Subscribe|Verification|Message-Oriented|WMSCRTechOpsSupport
PublishPIREP(WMSCR)|1.0|Flight|EnRouteCruise/Oceanic|Publish/Subscribe|Verification|Message-Oriented|WMSCRTechOpsSupport
PublishPIREP(WMSCR)|1.0|Flight|EnRouteCruise/Oceanic|Publish/Subscribe|Verification|Message-Oriented|SoftwareEngineerFlightServiceandWeatherEngineeringOffice
PutStaticSAA|1.0|Aeronautical|FlightPlanning|Essential|Definition|Method-Oriented|AeronauticalInformationManagement(AIM)
SAAOperationalSchedule|1.0|Aeronautical|FlightPlanning|Essential|Definition|Method-Oriented|AeronauticalInformationManagement(AIM)
SAAScheduleNotification|1.0|Aeronautical|FlightPlanning|Publish/Subscribe|Definition|Message-Oriented|AeronauticalInformationManagement(AIM)
StaticSAAUpdatesNotification|1.0|Aeronautical|FlightPlanning|Publish/Subscribe|Definition|Message-Oriented|AeronauticalInformationManagement(AIM)
STDDSAirportDataService(APDS)|1.0|Flight|Airport|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
STDDSAirportDataService(APDS)|1.0|Navigation|Airport|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
STDDSAirportDataService(APDS)|1.0|Navigation|Airport|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
STDDSAirportDataService(APDS)|1.0|Navigation|ArrivalandDeparture|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
STDDSAirportDataService(APDS)|1.0|Navigation|ArrivalandDeparture|Publish/Subscribe|Verification|Message-Oriented|SWIMTerminalDataDescriptionSystem(STDDS)
